name,price,url,characteristics
Лак для внутренних поверхностей NATURA 40 полуглянцевый бесцветный TEKNOS,,https://order-nn.ru/kmo/catalog/9443/522805,"{'Бренд': 'TEKNOS', 'Страна производителя': 'ФИНЛЯНДИЯ', 'Цвет': 'бесцветный', 'Колеровка': 'да', 'Область применения': 'бревенчатые стены\xa0/\xa0потолки', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Степень блеска поверхности': 'полуглянцевая', 'Готовность к применению': 'готов к применению', 'Способ нанесения': 'кисть\xa0/\xa0безвоздушное', 'Время полного высыхания (ч)': '8', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Тип работ': 'внутренние работы', 'Температура применения, (град. C)': 'от +10', 'Рекомендованное количество слоев покрытия': '2-3', 'Расход (1 слой), (кв.м/л)': '8-14', 'Время высыхания между слоями (ч)': '1', 'Тип поверхности': 'дерево\xa0/\xa0ДВП\xa0/\xa0ДСП', 'Защита от УФ-излучения (солнца)': 'усиленная', 'Фасовка (л)': '9'}"
Лак паркетный алкидно-уретановый PROTEX PARKE CILA полуматовый,,https://order-nn.ru/kmo/catalog/6004/450101,"{'Тип работ': 'внутренние работы', 'Область применения': 'для паркета\xa0/\xa0для изделий из древесины', 'Степень блеска поверхности': 'полуматовая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца)': 'нет', 'Состав,': 'алкидный', 'Готовность к применению': 'готов к применению', 'Бренд': 'Marshall', 'Страна производителя': 'ЭСТОНИЯ', 'Цвет': 'бесцветный', 'Разбавитель (растворитель)': 'уайт-спирит', 'Способ нанесения': 'кисть', 'Время полного высыхания (ч)': '96', 'Температура применения, (град. C)': '+5 +30', 'Рекомендованное количество слоев покрытия': '2-3', 'Расход (1 слой), (кв.м/л)': '14-16 кв.м/л', 'Время высыхания между слоями (ч)': '5', 'Защита от плесени, грибка': 'нет', 'Тип поверхности': 'бетон\xa0/\xa0дерево', 'Фасовка (л)': '9'}"
Лак ХВ 784 ЭКСПЕРТ - Быстросохнущий лак для дерева Орех,,https://order-nn.ru/kmo/catalog/6002/435029,"{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Степень блеска поверхности': 'полуматовая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Колеровка': 'готовый цвет', 'Состав,': 'нитроцеллюлоза', 'Готовность к применению': 'готов к применению', 'Бренд': 'Эксперт', 'Страна производителя': 'РОССИЯ', 'Цвет': 'орех', 'Разбавитель (растворитель)': '646\xa0/\xa0647\xa0/\xa0650', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0тампон', 'Время полного высыхания (ч)': '12', 'Температура применения, (град. C)': 'от +5', 'Рекомендованное количество слоев покрытия': '1-2', 'Расход (1 слой), (кв.м/л)': '6-8', 'Время высыхания между слоями (ч)': '2', 'Тип поверхности': 'дерево', 'Фасовка (л)': '0.5'}"
Яхтный лак алкидно-уретановый Marshall Protex Yat Vernik Бесцветный полуматовый - 0.75 л,,https://order-nn.ru/kmo/catalog/6872/327177,"{'Тип работ': 'внутренние работы', 'Область применения': 'для паркета\xa0/\xa0для изделий из древесины', 'Степень блеска поверхности': 'полуматовая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Колеровка': 'автоматическая\xa0/\xa0готовый цвет', 'Состав,': 'алкидный', 'Готовность к применению': 'готов к применению', 'Бренд': 'Marshall', 'Страна производителя': 'ЭСТОНИЯ', 'Цвет': 'бесцветный', 'Разбавитель (растворитель)': 'уайт-спирит', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '48', 'Температура применения, (град. C)': 'от +5°C до +30°С', 'Рекомендованное количество слоев покрытия': '2-3', 'Расход (1 слой), (кв.м/л)': '14-16', 'Время высыхания между слоями (ч)': '5', 'Тип поверхности': 'дерево\xa0/\xa0ДВП\xa0/\xa0ДСП', 'Фасовка (л)': '0.75'}"
Колеруемый интерьерный лак TIKKURILA Paneeli Assa 10 Бесцветный матовый (2.7л),,https://order-nn.ru/kmo/catalog/6000/334113,"{'Тип работ': 'внутренние работы', 'Степень блеска поверхности': 'матовая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Колеровка': 'автоматическая\xa0/\xa0готовый цвет', 'Состав,': 'акриловый', 'Готовность к применению': 'готов к применению', 'Бренд': 'Tikkurila', 'Страна производителя': 'ФИНЛЯНДИЯ', 'Цвет': 'бесцветный(база ЕР)', 'Состав': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '24', 'Расход, (л/кв.м)': 'На строганую поверхность – 8-12  м^(2)/л.', 'Температура применения, (град. C)': 'от+5', 'Рекомендованное количество слоев покрытия': '2-3', 'Расход (1 слой), (кв.м/л)': '8-12', 'Время высыхания между слоями (ч)': '2-3', 'Тип поверхности': 'дерево\xa0/\xa0ДВП\xa0/\xa0ДСП', 'Фасовка (л)': '2.7', 'Базис': 'EP'}"
Лак полиуретановый Helo Aqua 40 полуглянцевый бесцветный (0.9л),,https://order-nn.ru/kmo/catalog/6000/529437,"{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Область применения': 'для полов\xa0/\xa0для мебели', 'Степень блеска поверхности': 'полуглянцевая', 'Защита от УФ-излучения (солнца)': 'обычная', 'Колеровка': 'да', 'Состав,': 'полиуритановый', 'Готовность к применению': 'готов к применению', 'Бренд': 'TEKNOS', 'Страна производителя': 'ФИНЛЯНДИЯ', 'Цвет': 'бесцветный', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0шпатель', 'Время полного высыхания (ч)': '168-336', 'Температура применения, (град. C)': 'от +10', 'Рекомендованное количество слоев покрытия': '2-3', 'Расход (1 слой), (кв.м/л)': '8-12', 'Время высыхания между слоями (ч)': '1', 'Защита от плесени, грибка': 'нет', 'Тип поверхности': 'дерево', 'Фасовка (л)': '0.9'}"
Эмаль полиуретановая универсальная Symphony WINNER шелковисто-матовая база A белая (9л),9999.0,https://order-nn.ru/kmo/catalog/6000/528950,"{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Область применения': 'для защиты бетонных поверхностей\xa0/\xa0для радиаторов отопления\xa0/\xa0универсальная\xa0/\xa0для мебели\xa0/\xa0окна', 'Степень блеска поверхности': 'шелковисто матовая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца)': 'нет', 'Колеровка': 'да', 'Состав,': 'полиуритановый', 'Готовность к применению': 'готов к применению', 'Бренд': 'Symphony', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Разбавитель (растворитель)': 'уайт-спирит', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '3-5', 'Температура применения, (град. C)': 'выше +5', 'Рекомендованное количество слоев покрытия': '1-2', 'Расход (1 слой), (кв.м/л)': '7-12', 'Время высыхания между слоями (ч)': '24', 'Защита от плесени, грибка': 'нет', 'Тип поверхности': 'бетон\xa0/\xa0дерево\xa0/\xa0ДВП\xa0/\xa0ДСП\xa0/\xa0металл', 'Фасовка (л)': '9', 'Базис': 'A'}"
Лак универсальный GOODHIM TEXTURE 210 полуглянцевый 27979 (0.9кг),580.0,https://order-nn.ru/kmo/catalog/6000/508171,"{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Степень блеска поверхности': 'полуглянцевая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца)': 'усиленная', 'Колеровка': 'нет', 'Состав,': 'водная полимерная дисперсия', 'Готовность к применению': 'готов к применению', 'Бренд': 'goodhim', 'Страна производителя': 'РОССИЯ', 'Цвет': 'бесцветный', 'Артикул': '27979', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0тампон\xa0/\xa0окунание', 'Время полного высыхания (ч)': '48', 'Температура применения, (град. C)': 'выше +7', 'Расход (1 слой), (кв.м/л)': '100-160 г/м2', 'Защита от плесени, грибка': 'да', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0натуральный камень\xa0/\xa0дерево', 'Фасовка, (кг)': '0.9'}"
"Лак пропитывающий TEXTURE 100 для дерева и минеральных поверхностей, полуглянцевый, прозрачный goodhim 27733 (0.9кг)",490.0,https://order-nn.ru/kmo/catalog/6000/489046,"{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Степень блеска поверхности': 'полуглянцевая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца)': 'светостойкий', 'Состав,': 'водный', 'Готовность к применению': 'готов к применению', 'Бренд': 'goodhim', 'Страна производителя': 'РОССИЯ', 'Цвет': 'прозрачный', 'Разбавитель (растворитель)': 'вода', 'Артикул': '27733', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0тампон\xa0/\xa0окунание', 'Время полного высыхания (ч)': '24', 'Температура применения, (град. C)': 'выше +7', 'Рекомендованное количество слоев покрытия': '1', 'Расход (1 слой), (кв.м/л)': '100-160 гр. / кв. метр', 'Защита от плесени, грибка': 'да', 'Тип поверхности': 'дерево\xa0/\xa0минеральные поверхности', 'Фасовка, (кг)': '0.9'}"
"Лазурь деревозащитная NEOMID BioColor For Kids Н-BCFK-0,25 синий (0.25л)",,https://order-nn.ru/kmo/catalog/9567/530490,"{'Степень блеска поверхности': 'шелковисто матовая', 'Область применения': 'для окон и дверей\xa0/\xa0для изделий из древесины\xa0/\xa0стены\xa0/\xa0для мебели\xa0/\xa0для детей', 'Колеровка': 'нет', 'Тип работ': 'внутренние работы', 'Бренд': 'NEOMID', 'Страна производителя': 'РОССИЯ', 'Цвет': 'синий', 'Состав,': 'акриловый\xa0/\xa0воск', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '2', 'Рекомендованное количество слоев покрытия': '2-3', 'Время высыхания первого слоя (ч)': '2', 'Тип поверхности': 'дерево', 'Расход (1 слой) - пиленая древесина': '5-7 м2/л', 'Расход (1 слой) - строганая древесина': '10-12 м2/л', 'Фасовка (л)': '0.25'}"
